batch_label,detector,image_path,prediction,confidence,elapsed_time
pg25_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp16_p89_seed212_s30_g3.5.png,fake,0.9988000392913818,0.08682751655578613
pg25_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp16_p74_seed197_s30_g3.5.png,fake,0.9987314343452454,0.0875847339630127
sd35_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd35_fp8_p81_seed204_s30_g3.5.png,fake,0.9990990161895752,0.08851957321166992
sd15_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd15_fp4_p22_seed145_s30_g3.5.png,fake,0.9999575614929199,0.0706024169921875
sd15_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd15_fp8_p20_seed143_s30_g3.5.png,fake,0.9996644258499146,0.06992697715759277
pg25_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp16_p10_seed133_s30_g3.5.png,fake,0.9996600151062012,0.08784770965576172
pg25_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp8_p0_seed123_s30_g3.5.png,fake,0.9999288320541382,0.0896139144897461
sd15_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd15_fp16_p46_seed169_s30_g3.5.png,fake,0.9992988109588623,0.07196474075317383
sdxl_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sdxl_fp16_p76_seed199_s30_g3.5.png,fake,0.9996223449707031,0.08667254447937012
pg25_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp8_p82_seed205_s30_g3.5.png,fake,0.9997681975364685,0.09509658813476562
sd35_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd35_fp16_p70_seed193_s30_g3.5.png,fake,0.9998195767402649,0.09170269966125488
sdxl_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sdxl_fp16_p4_seed127_s30_g3.5.png,fake,0.9996752738952637,0.09361815452575684
pg25_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp16_p20_seed143_s30_g3.5.png,fake,0.9998490810394287,0.09435915946960449
pg25_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp8_p49_seed172_s30_g3.5.png,fake,0.9995457530021667,0.0870370864868164
sdxl_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sdxl_fp16_p28_seed151_s30_g3.5.png,fake,0.9999229907989502,0.08863377571105957
pg25_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp4_p59_seed182_s30_g3.5.png,fake,0.9969393014907837,0.09310126304626465
z-image_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/z-image_fp16_p19_seed142_s30_g3.5.png,fake,0.9992662072181702,0.09369635581970215
pg25_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp8_p33_seed156_s30_g3.5.png,fake,0.999946117401123,0.09747576713562012
sdxl_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sdxl_fp8_p24_seed147_s30_g3.5.png,fake,0.9998632669448853,0.08913731575012207
sd15_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd15_fp16_p10_seed133_s30_g3.5.png,fake,0.9910029172897339,0.07840609550476074
sd35_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd35_fp4_p53_seed176_s30_g3.5.png,fake,0.9968616962432861,0.08579492568969727
pg25_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp16_p9_seed132_s30_g3.5.png,fake,0.9990618824958801,0.08890938758850098
sd35_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd35_fp4_p92_seed215_s30_g3.5.png,fake,0.9999063014984131,0.09470534324645996
sd15_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd15_fp16_p82_seed205_s30_g3.5.png,fake,0.9996504783630371,0.07889223098754883
sd35_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd35_fp4_p81_seed204_s30_g3.5.png,fake,0.998799204826355,0.09515690803527832
pg25_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp16_p35_seed158_s30_g3.5.png,fake,0.9988049268722534,0.09181976318359375
sd35_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd35_fp4_p42_seed165_s30_g3.5.png,fake,0.999263346195221,0.09039998054504395
sd35_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd35_fp8_p65_seed188_s30_g3.5.png,fake,0.9999531507492065,0.09087991714477539
z-image_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/z-image_fp8_p92_seed215_s30_g3.5.png,fake,0.9969413876533508,0.09556746482849121
sd35_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd35_fp16_p95_seed218_s30_g3.5.png,fake,0.999934196472168,0.08617234230041504
z-image_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/z-image_fp4_p22_seed145_s30_g3.5.png,fake,0.998933732509613,0.09428834915161133
pg25_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp4_p88_seed211_s30_g3.5.png,fake,0.9984489679336548,0.09336400032043457
sdxl_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sdxl_fp4_p36_seed159_s30_g3.5.png,fake,0.9999620914459229,0.0873415470123291
z-image_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/z-image_fp4_p93_seed216_s30_g3.5.png,fake,0.9863830804824829,0.09276008605957031
pg25_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp8_p31_seed154_s30_g3.5.png,fake,0.9991428852081299,0.09456086158752441
z-image_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/z-image_fp8_p48_seed171_s30_g3.5.png,fake,0.9994877576828003,0.0962679386138916
z-image_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/z-image_fp4_p30_seed153_s30_g3.5.png,fake,0.9990405440330505,0.09573650360107422
sd3_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd3_fp4_p22_seed145_s30_g3.5.png,fake,0.9999644756317139,0.08740472793579102
sdxl_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sdxl_fp8_p90_seed213_s30_g3.5.png,fake,0.9999381303787231,0.09584808349609375
sd3_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd3_fp8_p94_seed217_s30_g3.5.png,fake,0.9998623132705688,0.09184026718139648
sd3_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd3_fp4_p68_seed191_s30_g3.5.png,fake,0.9998999834060669,0.09342217445373535
sd15_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd15_fp8_p81_seed204_s30_g3.5.png,fake,0.9994144439697266,0.07980918884277344
sd3_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd3_fp4_p56_seed179_s30_g3.5.png,fake,0.9988399147987366,0.09326434135437012
sd3_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd3_fp8_p68_seed191_s30_g3.5.png,fake,0.999933123588562,0.09099197387695312
pg25_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp4_p68_seed191_s30_g3.5.png,fake,0.9998587369918823,0.09206867218017578
sd15_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd15_fp8_p4_seed127_s30_g3.5.png,fake,0.9996262788772583,0.07615327835083008
sdxl_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sdxl_fp8_p66_seed189_s30_g3.5.png,fake,0.9999494552612305,0.088043212890625
sdxl_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sdxl_fp4_p35_seed158_s30_g3.5.png,fake,0.9989435076713562,0.09094405174255371
sdxl_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sdxl_fp8_p34_seed157_s30_g3.5.png,fake,0.9999843835830688,0.09253525733947754
sd15_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd15_fp4_p63_seed186_s30_g3.5.png,fake,0.9994267225265503,0.07857561111450195
sd3_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd3_fp16_p86_seed209_s30_g3.5.png,fake,0.9996533393859863,0.09044909477233887
sd3_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd3_fp16_p37_seed160_s30_g3.5.png,fake,0.9997054934501648,0.08703112602233887
pg25_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp4_p74_seed197_s30_g3.5.png,fake,0.9998038411140442,0.09348678588867188
sd15_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd15_fp8_p67_seed190_s30_g3.5.png,fake,0.9999666213989258,0.07693123817443848
sd35_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd35_fp8_p19_seed142_s30_g3.5.png,fake,0.9998762607574463,0.08941936492919922
pg25_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp8_p41_seed164_s30_g3.5.png,fake,0.9998441934585571,0.0924072265625
sdxl_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sdxl_fp16_p22_seed145_s30_g3.5.png,fake,0.9999812841415405,0.08882021903991699
sd15_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd15_fp4_p39_seed162_s30_g3.5.png,fake,0.9989830851554871,0.07884073257446289
sd3_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd3_fp4_p96_seed219_s30_g3.5.png,fake,0.999458372592926,0.09304499626159668
z-image_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/z-image_fp4_p98_seed221_s30_g3.5.png,fake,0.9996641874313354,0.09328126907348633
sd15_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd15_fp16_p11_seed134_s30_g3.5.png,fake,0.999292254447937,0.07739472389221191
sdxl_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sdxl_fp8_p31_seed154_s30_g3.5.png,fake,0.9992395639419556,0.09313702583312988
sd3_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd3_fp8_p66_seed189_s30_g3.5.png,fake,0.9995192289352417,0.09547972679138184
sd15_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd15_fp16_p95_seed218_s30_g3.5.png,fake,0.9999141693115234,0.07710552215576172
sd3_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd3_fp8_p80_seed203_s30_g3.5.png,fake,0.9993045330047607,0.09462809562683105
pg25_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp4_p66_seed189_s30_g3.5.png,fake,0.9999465942382812,0.08959317207336426
sd35_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd35_fp4_p21_seed144_s30_g3.5.png,fake,0.9999054670333862,0.08799099922180176
sd35_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd35_fp8_p41_seed164_s30_g3.5.png,fake,0.9987102746963501,0.09290838241577148
sdxl_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sdxl_fp16_p12_seed135_s30_g3.5.png,fake,0.9999945163726807,0.08714890480041504
sd15_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd15_fp16_p91_seed214_s30_g3.5.png,fake,0.9997462630271912,0.07759499549865723
pg25_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp16_p81_seed204_s30_g3.5.png,fake,0.9977315068244934,0.09231233596801758
pg25_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp16_p18_seed141_s30_g3.5.png,fake,0.9997919201850891,0.09231066703796387
sd15_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd15_fp4_p30_seed153_s30_g3.5.png,fake,0.999618649482727,0.0780479907989502
z-image_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/z-image_fp16_p41_seed164_s30_g3.5.png,fake,0.9951666593551636,0.09343576431274414
sd35_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd35_fp4_p22_seed145_s30_g3.5.png,fake,0.9997283816337585,0.08874392509460449
sd3_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd3_fp8_p4_seed127_s30_g3.5.png,fake,0.999936580657959,0.0919344425201416
pg25_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/pg25_fp16_p42_seed165_s30_g3.5.png,fake,0.9991974234580994,0.09119820594787598
z-image_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/z-image_fp8_p62_seed185_s30_g3.5.png,fake,0.9972014427185059,0.0937349796295166
sd35_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd35_fp4_p68_seed191_s30_g3.5.png,fake,0.9995405673980713,0.08493518829345703
z-image_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/z-image_fp8_p84_seed207_s30_g3.5.png,fake,0.9988829493522644,0.09497523307800293
z-image_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/z-image_fp4_p77_seed200_s30_g3.5.png,fake,0.9998441934585571,0.09492874145507812
z-image_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/z-image_fp4_p60_seed183_s30_g3.5.png,fake,0.9997953772544861,0.09396219253540039
sd15_fp4,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd15_fp4_p72_seed195_s30_g3.5.png,fake,0.9996114373207092,0.07748699188232422
sd35_fp8,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd35_fp8_p60_seed183_s30_g3.5.png,fake,0.9998602867126465,0.09038186073303223
sd3_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/sd3_fp16_p41_seed164_s30_g3.5.png,fake,0.9982459545135498,0.09516525268554688
z-image_fp16,CLIP-D,/media/CrispyMcMarkInc/fake-images/z-image_fp16_p54_seed177_s30_g3.5.png,fake,0.9974557757377625,0.08984112739562988
