model,quantization,steps,guidance,strength,detector,sample_count,fake_rate,avg_confidence_on_fake_predictions,avg_confidence_overall,avg_elapsed_time
sd15,fp16,30,3.5,0.3,CLIP-D,2.0,0.5,0.8195278644561768,0.5392069071531296,0.0635271072387695
sd15,fp16,30,3.5,0.3,NPR,2.0,0.5,0.9729440808296204,0.5499802231788635,0.09468829631805414
sd15,fp16,30,3.5,0.3,R50_TF,2.0,0.5,0.5927,0.4796,0.175
sd15,fp16,30,3.5,0.45,CLIP-D,2.0,1.0,0.9354577958583832,0.9354577958583832,0.0613915920257568
sd15,fp16,30,3.5,0.45,NPR,2.0,0.5,0.9760257005691528,0.5341376662254333,0.0893809795379638
sd15,fp16,30,3.5,0.45,R50_TF,2.0,0.5,0.5527,0.4629,0.173
sd15,fp16,30,3.5,0.6,CLIP-D,2.0,1.0,0.9858150482177734,0.9858150482177734,0.06244993209838865
sd15,fp16,30,3.5,0.6,NPR,2.0,0.5,0.987626016139984,0.6381037980318068,0.08911418914794915
sd15,fp16,30,3.5,0.6,R50_TF,2.0,0.5,0.5766,0.46785,0.1735
sd15,fp16,30,5.0,0.3,CLIP-D,2.0,0.5,0.8995564579963684,0.5470855683088303,0.0628139972686767
sd15,fp16,30,5.0,0.3,NPR,2.0,0.5,0.9885713458061218,0.5351580232381821,0.10389888286590576
sd15,fp16,30,5.0,0.3,R50_TF,2.0,0.5,0.5943,0.48240000000000005,0.176
sd15,fp16,30,5.0,0.45,CLIP-D,2.0,1.0,0.8506158590316772,0.8506158590316772,0.06421339511871335
sd15,fp16,30,5.0,0.45,NPR,2.0,0.5,0.9977078437805176,0.5281569454818964,0.09018230438232415
sd15,fp16,30,5.0,0.45,R50_TF,2.0,0.5,0.5624,0.4679,0.17
sd15,fp16,30,5.0,0.6,CLIP-D,2.0,1.0,0.9885627031326294,0.9885627031326294,0.0629594326019287
sd15,fp16,30,5.0,0.6,NPR,2.0,0.5,0.9983007311820984,0.5106084821745753,0.0914678573608398
sd15,fp16,30,5.0,0.6,R50_TF,2.0,0.5,0.5904,0.4756,0.17099999999999999
sd15,fp16,30,6.5,0.3,CLIP-D,2.0,0.5,0.942180633544922,0.5938051342964172,0.06307506561279294
sd15,fp16,30,6.5,0.3,NPR,2.0,0.5,0.9886820316314696,0.6217514723539351,0.09243905544281
sd15,fp16,30,6.5,0.3,R50_TF,2.0,0.5,0.5998,0.48519999999999996,0.172
sd15,fp16,30,6.5,0.45,CLIP-D,2.0,1.0,0.7670631408691406,0.7670631408691406,0.06292986869812005
sd15,fp16,30,6.5,0.45,NPR,2.0,0.5,0.9977352619171144,0.5489276237785816,0.0872251987457275
sd15,fp16,30,6.5,0.45,R50_TF,2.0,0.5,0.5708,0.4718,0.17
sd15,fp16,30,6.5,0.6,CLIP-D,2.0,1.0,0.9880904257297516,0.9880904257297516,0.062223076820373494
sd15,fp16,30,6.5,0.6,NPR,2.0,0.5,0.9969964027404784,0.5058905188925563,0.0936106443405151
sd15,fp16,30,6.5,0.6,R50_TF,2.0,0.5,0.6132,0.48845,0.172
sd15,fp16,40,3.5,0.3,CLIP-D,2.0,0.5,0.8331705927848816,0.5250387042760849,0.061760663986206055
sd15,fp16,40,3.5,0.3,NPR,2.0,0.5,0.9593582153320312,0.48278050613589585,0.09265875816345209
sd15,fp16,40,3.5,0.3,R50_TF,2.0,0.5,0.6013,0.48214999999999997,0.17
sd15,fp16,40,3.5,0.45,CLIP-D,2.0,1.0,0.9532701373100282,0.9532701373100282,0.06339573860168454
sd15,fp16,40,3.5,0.45,NPR,2.0,0.5,0.9932131767272948,0.5458641834557055,0.0910539627075195
sd15,fp16,40,3.5,0.45,R50_TF,2.0,0.5,0.5509,0.4648,0.1685
sd15,fp16,40,3.5,0.6,CLIP-D,2.0,1.0,0.9860821962356567,0.9860821962356567,0.06550514698028559
sd15,fp16,40,3.5,0.6,NPR,2.0,0.5,0.9986222982406616,0.5047624367289245,0.0908483266830444
sd15,fp16,40,3.5,0.6,R50_TF,2.0,0.5,0.5609,0.45955,0.1765
sd15,fp16,40,5.0,0.3,CLIP-D,2.0,0.5,0.864055335521698,0.5476349666714668,0.062244057655334445
sd15,fp16,40,5.0,0.3,NPR,2.0,0.5,0.9882959723472596,0.49957722472026944,0.0927392244338989
sd15,fp16,40,5.0,0.3,R50_TF,2.0,0.5,0.6067,0.48795,0.172
sd15,fp16,40,5.0,0.45,CLIP-D,2.0,1.0,0.9098132848739624,0.9098132848739624,0.06758069992065424
sd15,fp16,40,5.0,0.45,NPR,2.0,0.5,0.999492883682251,0.6334090977907181,0.09290552139282225
sd15,fp16,40,5.0,0.45,R50_TF,2.0,0.5,0.5593,0.4689,0.174
sd15,fp16,40,5.0,0.6,CLIP-D,2.0,1.0,0.9794729650020599,0.9794729650020599,0.06320750713348385
sd15,fp16,40,5.0,0.6,NPR,2.0,0.5,0.9981671571731568,0.5001244654413313,0.0974364280700683
sd15,fp16,40,5.0,0.6,R50_TF,2.0,0.5,0.5853,0.47555000000000003,0.1755
sd15,fp16,40,6.5,0.3,CLIP-D,2.0,0.5,0.9072545766830444,0.6091580241918564,0.06320238113403315
sd15,fp16,40,6.5,0.3,NPR,2.0,0.5,0.993519365787506,0.4982757301768287,0.09308588504791254
sd15,fp16,40,6.5,0.3,R50_TF,2.0,0.5,0.6111,0.4927,0.1675
sd15,fp16,40,6.5,0.45,CLIP-D,2.0,1.0,0.847241222858429,0.847241222858429,0.0632238388061523
sd15,fp16,40,6.5,0.45,NPR,2.0,1.0,0.8097407817840576,0.8097407817840576,0.09129166603088376
sd15,fp16,40,6.5,0.45,R50_TF,2.0,0.5,0.5761,0.48185,0.17149999999999999
sd15,fp16,40,6.5,0.6,CLIP-D,2.0,1.0,0.971155434846878,0.971155434846878,0.06356227397918696
sd15,fp16,40,6.5,0.6,NPR,2.0,0.5,0.9995575547218324,0.4999350867583417,0.09658813476562494
sd15,fp16,40,6.5,0.6,R50_TF,2.0,0.5,0.6,0.48314999999999997,0.172
