model,quantization,steps,guidance,strength,detector,sample_count,fake_rate,avg_confidence_on_fake_predictions,avg_confidence_overall,avg_elapsed_time
sd35,fp8,40,3.5,0.3,R50_TF,2.0,0.0,,0.40190000000000003,0.1725
sd35,fp8,40,3.5,0.45,R50_TF,2.0,0.0,,0.39549999999999996,0.1775
sd35,fp8,40,3.5,0.6,R50_TF,2.0,0.0,,0.40295000000000003,0.17
sd35,fp8,40,5.0,0.3,R50_TF,2.0,0.0,,0.40185,0.1735
sd35,fp8,40,5.0,0.45,R50_TF,2.0,0.0,,0.39415,0.1725
sd35,fp8,40,5.0,0.6,R50_TF,2.0,0.0,,0.4028,0.175
sd35,fp8,40,6.5,0.3,R50_TF,2.0,0.0,,0.40505,0.178
sd35,fp8,40,6.5,0.45,R50_TF,2.0,0.0,,0.3993,0.1745
sd35,fp8,40,6.5,0.6,R50_TF,2.0,0.0,,0.40865,0.1735
sd35,fp8,50,3.5,0.3,R50_TF,2.0,0.0,,0.40190000000000003,0.1735
sd35,fp8,50,3.5,0.45,R50_TF,2.0,0.0,,0.3936,0.174
sd35,fp8,50,3.5,0.6,R50_TF,2.0,0.0,,0.40035,0.1735
sd35,fp8,50,5.0,0.3,R50_TF,2.0,0.0,,0.4016,0.174
sd35,fp8,50,5.0,0.45,NPR,2.0,0.0,,0.14552223682408108,0.09287691116333005
sd35,fp8,50,5.0,0.45,R50_TF,2.0,0.0,,0.39325,0.172
sd35,fp8,50,5.0,0.6,R50_TF,2.0,0.0,,0.40795000000000003,0.1745
sd35,fp8,50,6.5,0.3,R50_TF,2.0,0.0,,0.40590000000000004,0.172
sd35,fp8,50,6.5,0.45,NPR,2.0,0.0,,0.10879599303012663,0.09201073646545405
sd35,fp8,50,6.5,0.45,R50_TF,2.0,0.0,,0.39380000000000004,0.16999999999999998
sd35,fp8,50,6.5,0.6,R50_TF,2.0,0.0,,0.41359999999999997,0.1725
