model,quantization,steps,guidance,strength,detector,sample_count,fake_rate,avg_confidence_on_fake_predictions,avg_confidence_overall,avg_elapsed_time
sd15,fp8,30,6.5,0.6,CLIP-D,2.0,1.0,0.9911103546619415,0.9911103546619415,0.06286859512329095
sd15,fp4,30,5.0,0.6,CLIP-D,2.0,1.0,0.9891740381717682,0.9891740381717682,0.062314987182617146
sd15,fp16,30,5.0,0.6,CLIP-D,2.0,1.0,0.9885627031326294,0.9885627031326294,0.0629594326019287
sd15,fp8,30,3.5,0.6,CLIP-D,2.0,1.0,0.9883410930633546,0.9883410930633546,0.0628513097763061
sd15,fp16,30,6.5,0.6,CLIP-D,2.0,1.0,0.9880904257297516,0.9880904257297516,0.062223076820373494
sd15,fp8,40,3.5,0.6,CLIP-D,2.0,1.0,0.9876672327518463,0.9876672327518463,0.061769127845764146
sd15,fp8,30,5.0,0.6,CLIP-D,2.0,1.0,0.9871242940425873,0.9871242940425873,0.06546759605407709
sd15,fp4,40,3.5,0.6,CLIP-D,2.0,1.0,0.9870800375938416,0.9870800375938416,0.06166255474090575
sd15,fp4,30,6.5,0.6,CLIP-D,2.0,1.0,0.9866462349891663,0.9866462349891663,0.06499695777893061
sd15,fp16,50,3.5,0.6,CLIP-D,2.0,1.0,0.9862613677978516,0.9862613677978516,0.0617802143096923
sd15,fp16,40,3.5,0.6,CLIP-D,2.0,1.0,0.9860821962356567,0.9860821962356567,0.06550514698028559
sd15,fp16,30,3.5,0.6,CLIP-D,2.0,1.0,0.9858150482177734,0.9858150482177734,0.06244993209838865
sd15,fp4,50,3.5,0.6,CLIP-D,2.0,1.0,0.985436350107193,0.985436350107193,0.061460494995117146
sd15,fp8,40,5.0,0.6,CLIP-D,2.0,1.0,0.985097736120224,0.985097736120224,0.061543464660644503
sd15,fp4,30,3.5,0.6,CLIP-D,2.0,1.0,0.984477698802948,0.984477698802948,0.06841742992401115
sd15,fp4,50,6.5,0.6,CLIP-D,2.0,1.0,0.9837167263031006,0.9837167263031006,0.0634559392929077
sd15,fp8,50,3.5,0.6,CLIP-D,2.0,1.0,0.9829338788986206,0.9829338788986206,0.06258869171142575
sd15,fp4,40,5.0,0.6,CLIP-D,2.0,1.0,0.9826952219009399,0.9826952219009399,0.06126594543457025
sd15,fp16,40,5.0,0.6,CLIP-D,2.0,1.0,0.9794729650020599,0.9794729650020599,0.06320750713348385
sd15,fp4,40,6.5,0.6,CLIP-D,2.0,1.0,0.977356880903244,0.977356880903244,0.06243240833282465
