batch_label,detector,detector_mode,image_path,prediction,confidence,elapsed_time
sd35_fp16,CLIP-D,grid_max,/media/CrispyMcMarkInc/fake-images-img2img/00048_sd35_fp16_seed171_s30_g3.5_str0.3.png,fake,0.9961485862731934,0.22309398651123047
sd35_fp16,CLIP-D,grid_majority,/media/CrispyMcMarkInc/fake-images-img2img/00018_sd35_fp16_seed141_s30_g3.5_str0.3.png,real,0.0,0.20333051681518555
sd3_fp16,CLIP-D,patch_max,/media/CrispyMcMarkInc/fake-images-img2img/00067_sd3_fp16_seed190_s30_g3.5_str0.3.png,fake,0.9919480681419373,0.47162652015686035
sd35_fp16,CLIP-D,patch_majority,/media/CrispyMcMarkInc/fake-images-img2img/00005_sd35_fp16_seed128_s30_g3.5_str0.3.png,real,0.0,0.5364298820495605
sd15_fp8,CLIP-D,grid_max,/media/CrispyMcMarkInc/fake-images-img2img/00007_sd15_fp8_seed130_s30_g3.5_str0.3.png,fake,0.977119505405426,0.28675079345703125
sd35_fp4,CLIP-D,grid_majority,/media/CrispyMcMarkInc/fake-images-img2img/00024_sd35_fp4_seed147_s30_g3.5_str0.3.png,fake,1.0,0.20346283912658691
sd3_fp16,CLIP-D,patch_max,/media/CrispyMcMarkInc/fake-images-img2img/00058_sd3_fp16_seed181_s30_g3.5_str0.3.png,fake,0.952285647392273,0.4723048210144043
sd35_fp8,CLIP-D,patch_majority,/media/CrispyMcMarkInc/fake-images-img2img/00014_sd35_fp8_seed137_s30_g3.5_str0.3.png,fake,1.0,0.5417385101318359
sd35_fp4,CLIP-D,grid_max,/media/CrispyMcMarkInc/fake-images-img2img/00098_sd35_fp4_seed221_s30_g3.5_str0.3.png,fake,0.9085560441017151,0.263430118560791
sd35_fp8,CLIP-D,grid_majority,/media/CrispyMcMarkInc/fake-images-img2img/00021_sd35_fp8_seed144_s30_g3.5_str0.3.png,real,0.0,0.20587491989135742
sd35_fp8,CLIP-D,patch_max,/media/CrispyMcMarkInc/fake-images-img2img/00092_sd35_fp8_seed215_s30_g3.5_str0.3.png,fake,0.7954637408256531,0.4733619689941406
sd35_fp4,CLIP-D,patch_majority,/media/CrispyMcMarkInc/fake-images-img2img/00002_sd35_fp4_seed125_s30_g3.5_str0.3.png,real,0.0,0.5402083396911621
sd35_fp16,CLIP-D,grid_max,/media/CrispyMcMarkInc/fake-images-img2img/00065_sd35_fp16_seed188_s30_g3.5_str0.3.png,fake,0.814006507396698,0.22756147384643555
sd3_fp4,CLIP-D,grid_majority,/media/CrispyMcMarkInc/fake-images-img2img/00055_sd3_fp4_seed178_s30_g3.5_str0.3.png,fake,1.0,0.2041172981262207
sd3_fp8,CLIP-D,patch_max,/media/CrispyMcMarkInc/fake-images-img2img/00065_sd3_fp8_seed188_s30_g3.5_str0.3.png,fake,0.9658627510070801,0.469618558883667
sd35_fp8,CLIP-D,patch_majority,/media/CrispyMcMarkInc/fake-images-img2img/00086_sd35_fp8_seed209_s30_g3.5_str0.3.png,real,0.0,0.6511225700378418
sd3_fp8,CLIP-D,grid_max,/media/CrispyMcMarkInc/fake-images-img2img/00054_sd3_fp8_seed177_s30_g3.5_str0.3.png,fake,0.8198813796043396,0.39646458625793457
sd3_fp4,CLIP-D,grid_majority,/media/CrispyMcMarkInc/fake-images-img2img/00085_sd3_fp4_seed208_s30_g3.5_str0.3.png,fake,1.0,0.2028038501739502
sd35_fp16,CLIP-D,patch_max,/media/CrispyMcMarkInc/fake-images-img2img/00088_sd35_fp16_seed211_s30_g3.5_str0.3.png,fake,0.9293394088745117,0.47421789169311523
sd3_fp16,CLIP-D,grid_max,/media/CrispyMcMarkInc/fake-images-img2img/00077_sd3_fp16_seed200_s30_g3.5_str0.3.png,fake,0.9839022755622864,0.362825870513916
sd15_fp4,CLIP-D,grid_majority,/media/CrispyMcMarkInc/fake-images-img2img/00092_sd15_fp4_seed215_s30_g3.5_str0.3.png,real,0.0,0.45634984970092773
sd35_fp4,CLIP-D,patch_majority,/media/CrispyMcMarkInc/fake-images-img2img/00068_sd35_fp4_seed191_s30_g3.5_str0.3.png,real,0.0,0.7388036251068115
sd15_fp16,CLIP-D,patch_max,/media/CrispyMcMarkInc/fake-images-img2img/00011_sd15_fp16_seed134_s30_g3.5_str0.3.png,fake,0.919108510017395,0.4731905460357666
sd3_fp8,CLIP-D,grid_max,/media/CrispyMcMarkInc/fake-images-img2img/00076_sd3_fp8_seed199_s30_g3.5_str0.3.png,fake,0.7887747287750244,0.22573471069335938
sd35_fp16,CLIP-D,grid_majority,/media/CrispyMcMarkInc/fake-images-img2img/00036_sd35_fp16_seed159_s30_g3.5_str0.3.png,fake,1.0,0.218796968460083
sd35_fp16,CLIP-D,patch_majority,/media/CrispyMcMarkInc/fake-images-img2img/00018_sd35_fp16_seed141_s30_g3.5_str0.3.png,real,0.0,0.481579065322876
sd35_fp4,CLIP-D,patch_max,/media/CrispyMcMarkInc/fake-images-img2img/00046_sd35_fp4_seed169_s30_g3.5_str0.3.png,fake,0.7996291518211365,0.4749472141265869
sd35_fp16,CLIP-D,grid_max,/media/CrispyMcMarkInc/fake-images-img2img/00004_sd35_fp16_seed127_s30_g3.5_str0.3.png,real,0.45818355679512024,0.22322988510131836
sd35_fp4,CLIP-D,grid_majority,/media/CrispyMcMarkInc/fake-images-img2img/00058_sd35_fp4_seed181_s30_g3.5_str0.3.png,fake,1.0,0.20573091506958008
sd35_fp4,CLIP-D,patch_majority,/media/CrispyMcMarkInc/fake-images-img2img/00024_sd35_fp4_seed147_s30_g3.5_str0.3.png,real,0.0,0.5063872337341309
sd35_fp8,CLIP-D,patch_max,/media/CrispyMcMarkInc/fake-images-img2img/00031_sd35_fp8_seed154_s30_g3.5_str0.3.png,fake,0.9610360860824585,0.49924445152282715
