batch_label,detector,detector_mode,image_path,prediction,confidence,elapsed_time
sd35_fp16,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00005_sd35_fp16_seed128_s30_g3.5_str0.3.png,fake,0.9993234872817993,0.09721612930297852
sd35_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00014_sd35_fp8_seed137_s30_g3.5_str0.3.png,fake,0.999024510383606,0.09520626068115234
sd35_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00002_sd35_fp4_seed125_s30_g3.5_str0.3.png,fake,0.9997286200523376,0.09644913673400879
sd35_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00086_sd35_fp8_seed209_s30_g3.5_str0.3.png,fake,0.9999592304229736,0.09757065773010254
sd35_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00068_sd35_fp4_seed191_s30_g3.5_str0.3.png,fake,0.9998631477355957,0.09465479850769043
sd35_fp16,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00018_sd35_fp16_seed141_s30_g3.5_str0.3.png,fake,0.9997205138206482,0.09253096580505371
sd35_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00024_sd35_fp4_seed147_s30_g3.5_str0.3.png,fake,0.9997856020927429,0.09758114814758301
sd35_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00021_sd35_fp8_seed144_s30_g3.5_str0.3.png,fake,0.9997853636741638,0.09172391891479492
sd3_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00055_sd3_fp4_seed178_s30_g3.5_str0.3.png,fake,0.9999749660491943,0.09135556221008301
sd3_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00085_sd3_fp4_seed208_s30_g3.5_str0.3.png,fake,0.9998613595962524,0.09276032447814941
sd15_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00092_sd15_fp4_seed215_s30_g3.5_str0.3.png,fake,0.9998219609260559,0.0917215347290039
sd35_fp16,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00036_sd35_fp16_seed159_s30_g3.5_str0.3.png,fake,0.9989859461784363,0.08948826789855957
sd35_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00058_sd35_fp4_seed181_s30_g3.5_str0.3.png,fake,0.9997138381004333,0.09103274345397949
sd3_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00087_sd3_fp4_seed210_s30_g3.5_str0.3.png,fake,0.9993187189102173,0.09143376350402832
sd3_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00051_sd3_fp8_seed174_s30_g3.5_str0.3.png,fake,0.9896348118782043,0.08950352668762207
sd15_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00088_sd15_fp8_seed211_s30_g3.5_str0.3.png,fake,0.99905925989151,0.09464764595031738
sd3_fp16,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00089_sd3_fp16_seed212_s30_g3.5_str0.3.png,fake,0.9978420734405518,0.09098386764526367
sd3_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00008_sd3_fp4_seed131_s30_g3.5_str0.3.png,fake,0.9997088313102722,0.09174299240112305
