batch_label,source_image,model,quantization,seed,steps,guidance,strength,detector,image_path,prediction,confidence,elapsed_time
sd15_fp8_s30_g3.5_str0.6,00001,sd15,fp8,124,30,3.5,0.6,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp8_seed124_s30_g3.5_str0.6.png,fake,0.9784955382347107,0.06480574607849121
sd15_fp8_s30_g3.5_str0.6,00001,sd15,fp8,124,30,3.5,0.6,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp8_seed124_s30_g3.5_str0.6.png,real,0.3558,0.17
sd15_fp8_s30_g3.5_str0.6,00001,sd15,fp8,124,30,3.5,0.6,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp8_seed124_s30_g3.5_str0.6.png,fake,0.9868418574333191,0.09465169906616211
sd15_fp4_s50_g3.5_str0.45,00001,sd15,fp4,124,50,3.5,0.45,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp4_seed124_s50_g3.5_str0.45.png,fake,0.9377832412719727,0.06134533882141113
sd15_fp4_s50_g3.5_str0.45,00001,sd15,fp4,124,50,3.5,0.45,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp4_seed124_s50_g3.5_str0.45.png,real,0.3729,0.167
sd15_fp4_s50_g3.5_str0.45,00001,sd15,fp4,124,50,3.5,0.45,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp4_seed124_s50_g3.5_str0.45.png,fake,0.9959076642990112,0.09136176109313965
sd3_fp16_s50_g3.5_str0.6,00000,sd3,fp16,123,50,3.5,0.6,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp16_seed123_s50_g3.5_str0.6.png,fake,0.8813051581382751,0.06111311912536621
sd3_fp16_s50_g3.5_str0.6,00000,sd3,fp16,123,50,3.5,0.6,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp16_seed123_s50_g3.5_str0.6.png,real,0.4213,0.17
sd3_fp16_s50_g3.5_str0.6,00000,sd3,fp16,123,50,3.5,0.6,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp16_seed123_s50_g3.5_str0.6.png,real,4.509450590717279e-09,0.08768796920776367
sd3_fp16_s50_g5.0_str0.45,00000,sd3,fp16,123,50,5.0,0.45,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp16_seed123_s50_g5.0_str0.45.png,fake,0.5955089926719666,0.06286144256591797
sd3_fp16_s50_g5.0_str0.45,00000,sd3,fp16,123,50,5.0,0.45,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp16_seed123_s50_g5.0_str0.45.png,real,0.4176,0.168
sd3_fp16_s50_g5.0_str0.45,00000,sd3,fp16,123,50,5.0,0.45,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp16_seed123_s50_g5.0_str0.45.png,real,1.1220916557030947e-11,0.08976387977600098
sd15_fp8_s50_g6.5_str0.3,00001,sd15,fp8,124,50,6.5,0.3,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp8_seed124_s50_g6.5_str0.3.png,fake,0.9112489819526672,0.06134676933288574
sd15_fp8_s50_g6.5_str0.3,00001,sd15,fp8,124,50,6.5,0.3,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp8_seed124_s50_g6.5_str0.3.png,real,0.3826,0.167
sd15_fp8_s50_g6.5_str0.3,00001,sd15,fp8,124,50,6.5,0.3,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp8_seed124_s50_g6.5_str0.3.png,fake,0.9823203086853027,0.08935284614562988
sd15_fp16_s30_g6.5_str0.6,00001,sd15,fp16,124,30,6.5,0.6,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp16_seed124_s30_g6.5_str0.6.png,fake,0.9817782640457153,0.06257987022399902
sd15_fp16_s30_g6.5_str0.6,00001,sd15,fp16,124,30,6.5,0.6,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp16_seed124_s30_g6.5_str0.6.png,real,0.3637,0.174
sd15_fp16_s30_g6.5_str0.6,00001,sd15,fp16,124,30,6.5,0.6,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp16_seed124_s30_g6.5_str0.6.png,fake,0.9969964027404785,0.08808541297912598
sd3_fp8_s40_g3.5_str0.45,00000,sd3,fp8,123,40,3.5,0.45,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp8_seed123_s40_g3.5_str0.45.png,fake,0.776448130607605,0.060899972915649414
sd3_fp8_s40_g3.5_str0.45,00000,sd3,fp8,123,40,3.5,0.45,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp8_seed123_s40_g3.5_str0.45.png,real,0.4215,0.174
sd3_fp8_s40_g3.5_str0.45,00000,sd3,fp8,123,40,3.5,0.45,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp8_seed123_s40_g3.5_str0.45.png,real,1.0416105606888323e-14,0.09440112113952637
sd15_fp8_s40_g3.5_str0.3,00000,sd15,fp8,123,40,3.5,0.3,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp8_seed123_s40_g3.5_str0.3.png,real,0.21583658456802368,0.06139063835144043
sd15_fp8_s40_g3.5_str0.3,00000,sd15,fp8,123,40,3.5,0.3,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp8_seed123_s40_g3.5_str0.3.png,fake,0.6014,0.174
sd15_fp8_s40_g3.5_str0.3,00000,sd15,fp8,123,40,3.5,0.3,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp8_seed123_s40_g3.5_str0.3.png,real,0.0031685351859778166,0.09252643585205078
sd15_fp8_s30_g6.5_str0.45,00001,sd15,fp8,124,30,6.5,0.45,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp8_seed124_s30_g6.5_str0.45.png,fake,0.9628587961196899,0.06157970428466797
sd15_fp8_s30_g6.5_str0.45,00001,sd15,fp8,124,30,6.5,0.45,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp8_seed124_s30_g6.5_str0.45.png,real,0.3718,0.17
sd15_fp8_s30_g6.5_str0.45,00001,sd15,fp8,124,30,6.5,0.45,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp8_seed124_s30_g6.5_str0.45.png,fake,0.9991409778594971,0.09230470657348633
sd15_fp8_s50_g3.5_str0.45,00000,sd15,fp8,123,50,3.5,0.45,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp8_seed123_s50_g3.5_str0.45.png,fake,0.8900129795074463,0.061415910720825195
